Config,Variables_Interes,Variables_Condicionadas,Variables_Otras,Tiempo_Promedio_ms,Tiempo_Min_ms,Tiempo_Max_ms
"I=11,C=1,O=3",11,1,3,28.2977,27.4177,28.9742
"I=11,C=1,O=3",11,1,3,28.0972,27.3193,28.8553
"I=11,C=1,O=3",11,1,3,27.8937,27.4326,28.4616
"I=11,C=1,O=3",11,1,3,28.2459,28.0300,28.6445
"I=11,C=1,O=3",11,1,3,28.6613,28.2589,28.8791
"I=11,C=1,O=3",11,1,3,31.3469,28.5034,36.0644
"I=11,C=1,O=3",11,1,3,30.5030,28.5368,31.9321
"I=11,C=1,O=3",11,1,3,28.3589,27.9537,29.1401
"I=11,C=1,O=3",11,1,3,28.5739,27.9539,29.2358
"I=11,C=2,O=2",11,2,2,14.5351,14.2164,14.8344
"I=11,C=2,O=2",11,2,2,14.4698,14.1786,14.8799
"I=11,C=2,O=2",11,2,2,14.6643,14.1860,15.6104
"I=11,C=2,O=2",11,2,2,15.8276,14.7910,16.5927
"I=11,C=2,O=2",11,2,2,14.8161,14.6475,15.0720
"I=11,C=2,O=2",11,2,2,14.7658,14.5255,15.0134
"I=11,C=2,O=2",11,2,2,15.4669,14.8830,16.6247
"I=11,C=2,O=2",11,2,2,15.5955,15.0538,15.9293
"I=11,C=2,O=2",11,2,2,14.8385,14.5043,15.0161
"I=11,C=3,O=1",11,3,1,8.0098,7.7047,8.4838
"I=11,C=3,O=1",11,3,1,8.0435,7.8298,8.2995
"I=11,C=3,O=1",11,3,1,8.0825,7.6616,8.4481
"I=11,C=3,O=1",11,3,1,8.2879,8.0048,8.5492
"I=11,C=3,O=1",11,3,1,8.2248,8.0782,8.4767
"I=11,C=3,O=1",11,3,1,8.0216,7.7989,8.2418
"I=11,C=3,O=1",11,3,1,8.3652,8.2164,8.5944
"I=11,C=3,O=1",11,3,1,8.2954,7.9830,8.7765
"I=11,C=3,O=1",11,3,1,7.8551,7.7296,8.0369
"I=11,C=4,O=0",11,4,0,4.9097,4.4931,5.5201
"I=11,C=4,O=0",11,4,0,4.9500,4.5559,5.3277
"I=11,C=4,O=0",11,4,0,4.6137,4.5759,4.6629
"I=12,C=0,O=3",12,0,3,59.0862,58.4892,59.4217
"I=12,C=0,O=3",12,0,3,60.3346,59.0146,62.8885
"I=12,C=0,O=3",12,0,3,61.0159,60.3496,61.6664
"I=12,C=1,O=2",12,1,2,31.3417,30.5698,32.1836
"I=12,C=1,O=2",12,1,2,30.3867,29.3048,31.0867
"I=12,C=1,O=2",12,1,2,30.2326,28.9964,31.3386
"I=12,C=1,O=2",12,1,2,30.9902,30.2993,31.6386
"I=12,C=1,O=2",12,1,2,32.8906,32.4310,33.7812
"I=12,C=1,O=2",12,1,2,33.5654,32.3768,35.9028
"I=12,C=1,O=2",12,1,2,35.6007,34.4968,36.5583
"I=12,C=1,O=2",12,1,2,32.1913,31.5815,33.3832
"I=12,C=1,O=2",12,1,2,30.0616,29.6658,30.6155
"I=12,C=2,O=1",12,2,1,15.9039,15.5923,16.3498
"I=12,C=2,O=1",12,2,1,16.4959,15.6991,17.2015
"I=12,C=2,O=1",12,2,1,15.5934,15.2446,16.2399
"I=12,C=2,O=1",12,2,1,16.1642,15.6644,17.1139
"I=12,C=2,O=1",12,2,1,15.9580,15.5676,16.5692
"I=12,C=2,O=1",12,2,1,15.9879,15.6198,16.6396
"I=12,C=2,O=1",12,2,1,16.3292,15.8008,16.8193
"I=12,C=2,O=1",12,2,1,15.7743,15.4512,16.2167
"I=12,C=2,O=1",12,2,1,15.9795,15.7820,16.1678
"I=12,C=3,O=0",12,3,0,8.8438,8.6709,9.0050
"I=12,C=3,O=0",12,3,0,8.6025,8.4698,8.7989
"I=12,C=3,O=0",12,3,0,8.6364,8.5378,8.7546
"I=13,C=0,O=2",13,0,2,62.2005,62.0921,62.3836
"I=13,C=0,O=2",13,0,2,62.8358,62.2405,63.4784
"I=13,C=0,O=2",13,0,2,63.6155,63.0491,64.1507
"I=13,C=1,O=1",13,1,1,31.5641,31.1418,32.1209
"I=13,C=1,O=1",13,1,1,31.6700,30.9268,32.4382
"I=13,C=1,O=1",13,1,1,32.3207,31.7004,32.6844
"I=13,C=1,O=1",13,1,1,32.7596,32.2345,33.1923
"I=13,C=1,O=1",13,1,1,32.1973,31.9813,32.4315
"I=13,C=1,O=1",13,1,1,32.9843,32.3217,33.5572
"I=13,C=2,O=0",13,2,0,16.6829,16.0092,17.7025
"I=13,C=2,O=0",13,2,0,17.1626,16.7591,17.7846
"I=13,C=2,O=0",13,2,0,17.0898,16.8303,17.3971
"I=14,C=0,O=1",14,0,1,65.8759,65.1707,66.3438
"I=14,C=0,O=1",14,0,1,68.6235,66.2264,72.2325
"I=14,C=0,O=1",14,0,1,65.1618,64.5017,66.0943
"I=14,C=1,O=0",14,1,0,33.3057,32.7508,33.6731
"I=14,C=1,O=0",14,1,0,33.7114,33.2925,34.0707
"I=14,C=1,O=0",14,1,0,33.6643,33.4867,33.8552
"I=15,C=0,O=0",15,0,0,69.3119,67.8021,70.2145
